"No.","Time","Source","Destination","Protocol","Length","Info"
"541","67.694224","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"542","67.746748","10.112.112.11","10.112.112.19","TCP","54","1883  >  57824 [ACK] Seq=5 Ack=77 Win=65459 Len=0"
"543","68.789380","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"544","68.838244","10.112.112.11","10.112.112.19","TCP","54","1883  >  57824 [ACK] Seq=5 Ack=123 Win=65413 Len=0"
"551","69.711119","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"552","69.755133","10.112.112.11","10.112.112.19","TCP","54","1883  >  57824 [ACK] Seq=5 Ack=169 Win=65367 Len=0"
"560","72.169358","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"563","72.215511","10.112.112.11","10.112.112.19","TCP","54","1883  >  57824 [ACK] Seq=5 Ack=215 Win=65321 Len=0"
"565","72.475323","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"566","72.528221","10.112.112.11","10.112.112.19","TCP","54","1883  >  57824 [ACK] Seq=5 Ack=261 Win=65275 Len=0"
"617","77.188626","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"618","77.242751","10.112.112.11","10.112.112.19","TCP","54","1883  >  57824 [ACK] Seq=5 Ack=307 Win=65229 Len=0"
"619","77.296252","10.112.112.19","10.112.112.11","MQTT","238","Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor]"
"620","77.338149","10.112.112.11","10.112.112.19","TCP","54","1883  >  57824 [ACK] Seq=5 Ack=491 Win=65045 Len=0"
"640","79.139800","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"643","79.187850","10.112.112.11","10.112.112.19","TCP","54","1883  >  57824 [ACK] Seq=5 Ack=537 Win=64999 Len=0"
"651","79.256781","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"653","79.298520","10.112.112.11","10.112.112.19","TCP","54","1883  >  57824 [ACK] Seq=5 Ack=583 Win=64953 Len=0"
"658","79.748755","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"659","79.797442","10.112.112.11","10.112.112.19","TCP","54","1883  >  57824 [ACK] Seq=5 Ack=629 Win=64907 Len=0"
"682","80.713995","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"683","80.760060","10.112.112.11","10.112.112.19","TCP","54","1883  >  57824 [ACK] Seq=5 Ack=675 Win=64861 Len=0"
"688","81.714257","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"691","81.755278","10.112.112.11","10.112.112.19","TCP","54","1883  >  57824 [ACK] Seq=5 Ack=721 Win=64815 Len=0"
"694","82.819723","10.112.112.19","10.112.112.11","MQTT","56","Ping Request"
"695","82.819950","10.112.112.11","10.112.112.19","MQTT","56","Ping Response"
"697","83.009149","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"699","83.063846","10.112.112.11","10.112.112.19","TCP","54","1883  >  57824 [ACK] Seq=7 Ack=769 Win=64767 Len=0"
"704","83.726933","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"705","83.780102","10.112.112.11","10.112.112.19","TCP","54","1883  >  57824 [ACK] Seq=7 Ack=815 Win=64721 Len=0"
"733","90.798934","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"734","90.844526","10.112.112.11","10.112.112.19","TCP","54","1883  >  57824 [ACK] Seq=7 Ack=861 Win=64675 Len=0"
"738","91.026824","10.112.112.19","10.112.112.11","MQTT","330","Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor]"
"740","91.081174","10.112.112.11","10.112.112.19","TCP","54","1883  >  57824 [ACK] Seq=7 Ack=1137 Win=64399 Len=0"
"742","91.831055","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"744","91.876924","10.112.112.11","10.112.112.19","TCP","54","1883  >  57824 [ACK] Seq=7 Ack=1183 Win=64353 Len=0"
"751","94.148536","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"752","94.202852","10.112.112.11","10.112.112.19","TCP","54","1883  >  57824 [ACK] Seq=7 Ack=1229 Win=64307 Len=0"
"754","94.598849","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"755","94.653863","10.112.112.11","10.112.112.19","TCP","54","1883  >  57824 [ACK] Seq=7 Ack=1275 Win=64261 Len=0"
"786","108.727710","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"787","108.779313","10.112.112.11","10.112.112.19","TCP","54","1883  >  57824 [ACK] Seq=7 Ack=1321 Win=64215 Len=0"
"804","114.870223","10.112.112.19","10.112.112.11","TCP","58","57825  >  1883 [SYN] Seq=0 Win=5744 Len=0 MSS=1436"
"805","114.870511","10.112.112.11","10.112.112.19","TCP","58","1883  >  57825 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"807","115.013533","10.112.112.19","10.112.112.11","TCP","54","57825  >  1883 [ACK] Seq=1 Ack=1 Win=5744 Len=0"
"808","115.013533","10.112.112.19","10.112.112.11","MQTT","84","Connect Command"
"809","115.014062","10.112.112.11","10.112.112.19","TCP","54","1883  >  57824 [FIN, ACK] Seq=7 Ack=1321 Win=64215 Len=0"
"810","115.014209","10.112.112.11","10.112.112.19","MQTT","58","Connect Ack"
"811","115.032405","10.112.112.19","10.112.112.11","TCP","54","[TCP Previous segment not captured] 57824  >  1883 [ACK] Seq=2152 Ack=8 Win=5737 Len=0"
"812","115.441971","10.112.112.11","10.112.112.19","TCP","58","[TCP Retransmission] 1883  >  57825 [PSH, ACK] Seq=1 Ack=31 Win=65505 Len=4"
"813","115.942454","10.112.112.11","10.112.112.19","TCP","58","[TCP Retransmission] 1883  >  57825 [PSH, ACK] Seq=1 Ack=31 Win=65505 Len=4"
"814","115.950301","10.112.112.19","10.112.112.11","TCP","54","[TCP Previous segment not captured] 57825  >  1883 [ACK] Seq=77 Ack=5 Win=5740 Len=0"
"817","117.223839","10.112.112.19","10.112.112.11","TCP","100","[TCP Retransmission] 57825  >  1883 [PSH, ACK] Seq=31 Ack=5 Win=5740 Len=46"
"818","117.268187","10.112.112.11","10.112.112.19","TCP","54","1883  >  57825 [ACK] Seq=5 Ack=77 Win=65459 Len=0"
"832","123.166381","10.112.112.19","10.112.112.11","MQTT","146","Publish Message [iot/sensor], Publish Message [iot/sensor]"
"833","123.166381","10.112.112.19","10.112.112.11","TCP","884","[TCP Retransmission] 57824  >  1883 [FIN, PSH, ACK] Seq=1321 Ack=8 Win=5737 Len=830"
"834","123.166651","10.112.112.11","10.112.112.19","TCP","54","1883  >  57824 [RST, ACK] Seq=8 Ack=2151 Win=0 Len=0"
"835","123.220398","10.112.112.11","10.112.112.19","TCP","54","1883  >  57825 [ACK] Seq=5 Ack=169 Win=65367 Len=0"
"836","123.473753","10.112.112.19","10.112.112.11","MQTT","330","Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor]"
"837","123.518329","10.112.112.11","10.112.112.19","TCP","54","1883  >  57825 [ACK] Seq=5 Ack=445 Win=65091 Len=0"
"844","125.212830","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"848","126.861195","10.112.112.11","10.112.112.19","TCP","54","1883  >  57825 [ACK] Seq=5 Ack=491 Win=65045 Len=0"
"897","145.231448","10.112.112.19","10.112.112.11","MQTT","976","Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Ping Request, Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor]"
"898","145.231701","10.112.112.11","10.112.112.19","TCP","54","1883  >  57825 [ACK] Seq=5 Ack=1414 Win=64123 Len=0"
"899","145.231990","10.112.112.11","10.112.112.19","MQTT","56","Ping Response"
"900","145.233227","10.112.112.11","10.112.112.19","TCP","54","1883  >  57825 [FIN, ACK] Seq=7 Ack=1414 Win=64123 Len=0"
"901","145.651549","10.112.112.11","10.112.112.19","TCP","56","[TCP Retransmission] 1883  >  57825 [FIN, PSH, ACK] Seq=5 Ack=1414 Win=64123 Len=2"
"902","146.150092","10.112.112.11","10.112.112.19","TCP","56","[TCP Retransmission] 1883  >  57825 [FIN, PSH, ACK] Seq=5 Ack=1414 Win=64123 Len=2"
"903","147.010453","10.112.112.11","10.112.112.19","TCP","56","[TCP Retransmission] 1883  >  57825 [FIN, PSH, ACK] Seq=5 Ack=1414 Win=64123 Len=2"
"905","148.739660","10.112.112.11","10.112.112.19","TCP","56","[TCP Retransmission] 1883  >  57825 [FIN, PSH, ACK] Seq=5 Ack=1414 Win=64123 Len=2"
"906","148.791776","10.112.112.19","10.112.112.11","TCP","58","57826  >  1883 [SYN] Seq=0 Win=5744 Len=0 MSS=1436"
"907","148.791977","10.112.112.11","10.112.112.19","TCP","58","1883  >  57826 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"908","148.803945","10.112.112.19","10.112.112.11","TCP","54","57825  >  1883 [RST, ACK] Seq=1414 Ack=8 Win=28694 Len=0"
"909","148.835983","10.112.112.19","10.112.112.11","TCP","54","57826  >  1883 [ACK] Seq=1 Ack=1 Win=5744 Len=0"
"910","148.835983","10.112.112.19","10.112.112.11","MQTT","84","Connect Command"
"911","148.836488","10.112.112.11","10.112.112.19","MQTT","58","Connect Ack"
"912","148.863935","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"913","148.912502","10.112.112.11","10.112.112.19","TCP","54","1883  >  57826 [ACK] Seq=5 Ack=77 Win=65459 Len=0"
"918","149.889956","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"919","149.939272","10.112.112.11","10.112.112.19","TCP","54","1883  >  57826 [ACK] Seq=5 Ack=123 Win=65413 Len=0"
"934","155.155923","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"938","155.208390","10.112.112.11","10.112.112.19","TCP","54","1883  >  57826 [ACK] Seq=5 Ack=169 Win=65367 Len=0"
"939","155.420605","10.112.112.19","10.112.112.11","MQTT","238","Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor]"
"940","155.473867","10.112.112.11","10.112.112.19","TCP","54","1883  >  57826 [ACK] Seq=5 Ack=353 Win=65183 Len=0"
"941","155.932401","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"942","155.975275","10.112.112.11","10.112.112.19","TCP","54","1883  >  57826 [ACK] Seq=5 Ack=399 Win=65137 Len=0"
"944","157.264798","10.112.112.19","10.112.112.11","TCP","100","[TCP Spurious Retransmission] 57826  >  1883 [PSH, ACK] Seq=353 Ack=5 Win=5740 Len=46"
"945","157.264864","10.112.112.11","10.112.112.19","TCP","54","[TCP Dup ACK 942#1] 1883  >  57826 [ACK] Seq=5 Ack=399 Win=65137 Len=0"
"946","157.467814","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"947","157.517340","10.112.112.11","10.112.112.19","TCP","54","1883  >  57826 [ACK] Seq=5 Ack=445 Win=65091 Len=0"
"948","157.877452","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"949","157.922000","10.112.112.11","10.112.112.19","TCP","54","1883  >  57826 [ACK] Seq=5 Ack=491 Win=65045 Len=0"
"989","160.162051","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"991","160.215026","10.112.112.11","10.112.112.19","TCP","54","1883  >  57826 [ACK] Seq=5 Ack=537 Win=64999 Len=0"
"992","160.241254","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"994","160.293019","10.112.112.11","10.112.112.19","TCP","54","1883  >  57826 [ACK] Seq=5 Ack=583 Win=64953 Len=0"
"1001","162.169401","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"1002","162.221805","10.112.112.11","10.112.112.19","TCP","54","1883  >  57826 [ACK] Seq=5 Ack=629 Win=64907 Len=0"
"1003","162.291609","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"1004","162.331464","10.112.112.11","10.112.112.19","TCP","54","1883  >  57826 [ACK] Seq=5 Ack=675 Win=64861 Len=0"
"1018","166.666216","10.112.112.19","10.112.112.11","TCP","100","[TCP Spurious Retransmission] 57826  >  1883 [PSH, ACK] Seq=629 Ack=5 Win=5740 Len=46"
"1019","166.666293","10.112.112.11","10.112.112.19","TCP","54","[TCP Dup ACK 1004#1] 1883  >  57826 [ACK] Seq=5 Ack=675 Win=64861 Len=0"
"1020","166.672409","10.112.112.19","10.112.112.11","MQTT","240","Publish Message [iot/sensor], Ping Request, Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor]"
"1021","166.672810","10.112.112.11","10.112.112.19","MQTT","56","Ping Response"
"1022","166.895851","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"1023","166.939530","10.112.112.11","10.112.112.19","TCP","54","1883  >  57826 [ACK] Seq=7 Ack=907 Win=64629 Len=0"
"1034","169.250325","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"1035","169.293628","10.112.112.11","10.112.112.19","TCP","54","1883  >  57826 [ACK] Seq=7 Ack=953 Win=64583 Len=0"
"1038","169.553089","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"1039","169.607012","10.112.112.11","10.112.112.19","TCP","54","1883  >  57826 [ACK] Seq=7 Ack=999 Win=64537 Len=0"
"1048","169.877128","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"1052","169.918136","10.112.112.11","10.112.112.19","TCP","54","1883  >  57826 [ACK] Seq=7 Ack=1045 Win=64491 Len=0"
"1075","170.986633","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"1076","171.026536","10.112.112.11","10.112.112.19","TCP","54","1883  >  57826 [ACK] Seq=7 Ack=1091 Win=64445 Len=0"
"1090","173.161438","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"1094","173.212488","10.112.112.11","10.112.112.19","TCP","54","1883  >  57826 [ACK] Seq=7 Ack=1137 Win=64399 Len=0"
"1096","173.351414","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"1100","173.399616","10.112.112.11","10.112.112.19","TCP","54","1883  >  57826 [ACK] Seq=7 Ack=1183 Win=64353 Len=0"
"1121","173.881020","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"1131","173.931542","10.112.112.11","10.112.112.19","TCP","54","1883  >  57826 [ACK] Seq=7 Ack=1229 Win=64307 Len=0"
"1145","175.083992","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"1146","175.135165","10.112.112.11","10.112.112.19","TCP","54","1883  >  57826 [ACK] Seq=7 Ack=1275 Win=64261 Len=0"
"1147","176.209851","10.112.112.19","10.112.112.11","TCP","100","[TCP Spurious Retransmission] 57826  >  1883 [PSH, ACK] Seq=1229 Ack=7 Win=5738 Len=46"
"1148","176.209889","10.112.112.11","10.112.112.19","TCP","54","[TCP Dup ACK 1146#1] 1883  >  57826 [ACK] Seq=7 Ack=1275 Win=64261 Len=0"
"1149","176.514062","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"1150","176.555392","10.112.112.11","10.112.112.19","TCP","54","1883  >  57826 [ACK] Seq=7 Ack=1321 Win=64215 Len=0"
"1162","177.052104","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"1164","177.101098","10.112.112.11","10.112.112.19","TCP","54","1883  >  57826 [ACK] Seq=7 Ack=1367 Win=64169 Len=0"
"1263","177.886401","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"1265","177.928460","10.112.112.11","10.112.112.19","TCP","54","1883  >  57826 [ACK] Seq=7 Ack=1413 Win=64123 Len=0"
"1271","180.303472","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"1272","180.343845","10.112.112.11","10.112.112.19","TCP","54","1883  >  57826 [ACK] Seq=7 Ack=1459 Win=65535 Len=0"
"1276","183.381341","10.112.112.19","10.112.112.11","TCP","100","[TCP Spurious Retransmission] 57826  >  1883 [PSH, ACK] Seq=1413 Ack=7 Win=5738 Len=46"
"1277","183.381398","10.112.112.11","10.112.112.19","TCP","54","[TCP Dup ACK 1272#1] 1883  >  57826 [ACK] Seq=7 Ack=1459 Win=65535 Len=0"
"1290","187.781350","10.112.112.19","10.112.112.11","MQTT","240","Publish Message [iot/sensor], Publish Message [iot/sensor], Ping Request, Publish Message [iot/sensor], Publish Message [iot/sensor]"
"1291","187.781859","10.112.112.11","10.112.112.19","MQTT","56","Ping Response"
"1292","188.083474","10.112.112.11","10.112.112.19","TCP","56","[TCP Retransmission] 1883  >  57826 [PSH, ACK] Seq=7 Ack=1645 Win=65349 Len=2"
"1293","188.458943","10.112.112.11","10.112.112.19","TCP","56","[TCP Retransmission] 1883  >  57826 [PSH, ACK] Seq=7 Ack=1645 Win=65349 Len=2"
"1294","189.083605","10.112.112.11","10.112.112.19","TCP","56","[TCP Retransmission] 1883  >  57826 [PSH, ACK] Seq=7 Ack=1645 Win=65349 Len=2"
"1295","189.125713","10.112.112.19","10.112.112.11","MQTT","330","Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor]"
"1296","189.176317","10.112.112.11","10.112.112.19","TCP","54","1883  >  57826 [ACK] Seq=9 Ack=1921 Win=65073 Len=0"
"1305","192.180862","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"1306","192.221844","10.112.112.11","10.112.112.19","TCP","54","1883  >  57826 [ACK] Seq=9 Ack=1967 Win=65027 Len=0"
"1307","192.489224","10.112.112.19","10.112.112.11","MQTT","146","Publish Message [iot/sensor], Publish Message [iot/sensor]"
"1308","192.534930","10.112.112.11","10.112.112.19","TCP","54","1883  >  57826 [ACK] Seq=9 Ack=2059 Win=64935 Len=0"
"1330","198.186600","10.112.112.19","10.112.112.11","TCP","146","[TCP Spurious Retransmission] 57826  >  1883 [PSH, ACK] Seq=1967 Ack=9 Win=5736 Len=92"
"1331","198.186696","10.112.112.11","10.112.112.19","TCP","54","[TCP Dup ACK 1308#1] 1883  >  57826 [ACK] Seq=9 Ack=2059 Win=64935 Len=0"
"1332","198.210333","10.112.112.19","10.112.112.11","MQTT","330","Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor]"
"1333","198.261737","10.112.112.11","10.112.112.19","TCP","54","1883  >  57826 [ACK] Seq=9 Ack=2335 Win=64659 Len=0"
"1335","198.940445","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"1336","198.993543","10.112.112.11","10.112.112.19","TCP","54","1883  >  57826 [ACK] Seq=9 Ack=2381 Win=64613 Len=0"
"1338","201.192985","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"1339","201.241548","10.112.112.11","10.112.112.19","TCP","54","1883  >  57826 [ACK] Seq=9 Ack=2427 Win=64567 Len=0"
"1347","204.189598","10.112.112.19","10.112.112.11","MQTT","146","Publish Message [iot/sensor], Publish Message [iot/sensor]"
"1349","204.235527","10.112.112.11","10.112.112.19","TCP","54","1883  >  57826 [ACK] Seq=9 Ack=2519 Win=64475 Len=0"
"1350","204.273005","10.112.112.19","10.112.112.11","MQTT","146","Publish Message [iot/sensor], Publish Message [iot/sensor]"
"1351","204.313988","10.112.112.11","10.112.112.19","TCP","54","1883  >  57826 [ACK] Seq=9 Ack=2611 Win=64383 Len=0"
"1352","204.982044","10.112.112.19","10.112.112.11","MQTT","56","Ping Request"
"1353","204.982538","10.112.112.11","10.112.112.19","MQTT","56","Ping Response"
"1355","205.091169","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"1356","205.141441","10.112.112.11","10.112.112.19","TCP","54","1883  >  57826 [ACK] Seq=11 Ack=2659 Win=64335 Len=0"
"1362","208.362320","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"1363","208.417373","10.112.112.11","10.112.112.19","TCP","54","1883  >  57826 [ACK] Seq=11 Ack=2705 Win=64289 Len=0"
"1365","210.218837","10.112.112.19","10.112.112.11","MQTT","146","Publish Message [iot/sensor], Publish Message [iot/sensor]"
"1371","210.272828","10.112.112.11","10.112.112.19","TCP","54","1883  >  57826 [ACK] Seq=11 Ack=2797 Win=64197 Len=0"
"1373","210.715891","10.112.112.19","10.112.112.11","MQTT","146","Publish Message [iot/sensor], Publish Message [iot/sensor]"
"1374","210.757767","10.112.112.11","10.112.112.19","TCP","54","1883  >  57826 [ACK] Seq=11 Ack=2889 Win=64105 Len=0"
"1386","211.742805","10.112.112.19","10.112.112.11","TCP","146","[TCP Spurious Retransmission] 57826  >  1883 [PSH, ACK] Seq=2797 Ack=11 Win=5734 Len=92"
"1387","211.742861","10.112.112.11","10.112.112.19","TCP","54","[TCP Dup ACK 1374#1] 1883  >  57826 [ACK] Seq=11 Ack=2889 Win=64105 Len=0"
"1389","211.848552","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"1390","211.894919","10.112.112.11","10.112.112.19","TCP","54","1883  >  57826 [ACK] Seq=11 Ack=2935 Win=65535 Len=0"
"1391","212.149543","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"1392","212.190232","10.112.112.11","10.112.112.19","TCP","54","1883  >  57826 [ACK] Seq=11 Ack=2981 Win=65489 Len=0"
"1485","222.186755","10.112.112.19","10.112.112.11","TCP","100","[TCP Spurious Retransmission] 57826  >  1883 [PSH, ACK] Seq=2935 Ack=11 Win=5734 Len=46"
"1488","222.198661","10.112.112.11","10.112.112.19","TCP","54","[TCP Dup ACK 1392#1] 1883  >  57826 [ACK] Seq=11 Ack=2981 Win=65489 Len=0"
"1489","222.253553","10.112.112.19","10.112.112.11","MQTT","516","Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Ping Request, Publish Message [iot/sensor], Publish Message [iot/sensor]"
"1490","222.254074","10.112.112.11","10.112.112.19","MQTT","56","Ping Response"
"1492","222.429876","10.112.112.19","10.112.112.11","TCP","54","57826  >  1883 [ACK] Seq=3443 Ack=13 Win=5732 Len=0"
"1497","222.907276","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"1498","222.954476","10.112.112.11","10.112.112.19","TCP","54","1883  >  57826 [ACK] Seq=13 Ack=3489 Win=64981 Len=0"
"1526","225.176435","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"1532","225.222888","10.112.112.11","10.112.112.19","TCP","54","1883  >  57826 [ACK] Seq=13 Ack=3535 Win=64935 Len=0"
"1533","225.461725","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"1534","225.504370","10.112.112.11","10.112.112.19","TCP","54","1883  >  57826 [ACK] Seq=13 Ack=3581 Win=64889 Len=0"
"1544","226.097483","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"1547","226.144957","10.112.112.11","10.112.112.19","TCP","54","1883  >  57826 [ACK] Seq=13 Ack=3627 Win=64843 Len=0"
"1558","226.918209","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"1565","226.970756","10.112.112.11","10.112.112.19","TCP","54","1883  >  57826 [ACK] Seq=13 Ack=3673 Win=64797 Len=0"
"1611","228.023767","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"1616","228.079361","10.112.112.11","10.112.112.19","TCP","54","1883  >  57826 [ACK] Seq=13 Ack=3719 Win=64751 Len=0"
"1672","228.916013","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"1674","228.958068","10.112.112.11","10.112.112.19","TCP","54","1883  >  57826 [ACK] Seq=13 Ack=3765 Win=64705 Len=0"
"1708","235.807630","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"1709","235.855276","10.112.112.11","10.112.112.19","TCP","54","1883  >  57826 [ACK] Seq=13 Ack=3811 Win=64659 Len=0"
"1710","236.326959","10.112.112.19","10.112.112.11","MQTT","330","Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor]"
"1711","236.376669","10.112.112.11","10.112.112.19","TCP","54","1883  >  57826 [ACK] Seq=13 Ack=4087 Win=64383 Len=0"
"1712","237.032740","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"1713","237.079360","10.112.112.11","10.112.112.19","TCP","54","1883  >  57826 [ACK] Seq=13 Ack=4133 Win=64337 Len=0"
"1714","237.954425","10.112.112.19","10.112.112.11","MQTT","56","Ping Request"
"1715","237.954763","10.112.112.11","10.112.112.19","MQTT","56","Ping Response"
"1716","237.965703","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"1721","238.021361","10.112.112.11","10.112.112.19","TCP","54","1883  >  57826 [ACK] Seq=15 Ack=4181 Win=64289 Len=0"
"1736","238.979350","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"1741","239.029835","10.112.112.11","10.112.112.19","TCP","54","1883  >  57826 [ACK] Seq=15 Ack=4227 Win=64243 Len=0"
"1746","240.003864","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"1748","240.046420","10.112.112.11","10.112.112.19","TCP","54","1883  >  57826 [ACK] Seq=15 Ack=4273 Win=64197 Len=0"
"1750","241.017904","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"1751","241.073737","10.112.112.11","10.112.112.19","TCP","54","1883  >  57826 [ACK] Seq=15 Ack=4319 Win=64151 Len=0"
"1758","243.280090","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"1759","243.334485","10.112.112.11","10.112.112.19","TCP","54","1883  >  57826 [ACK] Seq=15 Ack=4365 Win=64105 Len=0"
"1763","246.249999","10.112.112.19","10.112.112.11","TCP","100","[TCP Spurious Retransmission] 57826  >  1883 [PSH, ACK] Seq=4319 Ack=15 Win=5730 Len=46"
"1764","246.250184","10.112.112.11","10.112.112.19","TCP","54","[TCP Dup ACK 1759#1] 1883  >  57826 [ACK] Seq=15 Ack=4365 Win=64105 Len=0"
"1770","247.785341","10.112.112.19","10.112.112.11","MQTT","238","Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor]"
"1771","247.828558","10.112.112.11","10.112.112.19","TCP","54","1883  >  57826 [ACK] Seq=15 Ack=4549 Win=65535 Len=0"
