"No.","Time","Source","Destination","Protocol","Length","Info"
"5412","568.149185","10.112.112.11","10.112.112.19","TCP","54","1883  >  57832 [ACK] Seq=9 Ack=1691 Win=65303 Len=0"
"5413","569.014234","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"5414","569.054400","10.112.112.11","10.112.112.19","TCP","54","1883  >  57832 [ACK] Seq=9 Ack=1737 Win=65257 Len=0"
"5428","571.679772","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"5429","571.723967","10.112.112.11","10.112.112.19","TCP","54","1883  >  57832 [ACK] Seq=9 Ack=1783 Win=65211 Len=0"
"5459","575.546172","10.112.112.19","10.112.112.11","TCP","100","[TCP Spurious Retransmission] 57832  >  1883 [PSH, ACK] Seq=1737 Ack=9 Win=5736 Len=46"
"5460","575.546247","10.112.112.11","10.112.112.19","TCP","54","[TCP Dup ACK 5429#1] 1883  >  57832 [ACK] Seq=9 Ack=1783 Win=65211 Len=0"
"5461","575.565078","10.112.112.19","10.112.112.11","MQTT","284","Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor]"
"5462","575.607464","10.112.112.11","10.112.112.19","TCP","54","1883  >  57832 [ACK] Seq=9 Ack=2013 Win=64981 Len=0"
"5466","576.292964","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"5467","576.341598","10.112.112.11","10.112.112.19","TCP","54","1883  >  57832 [ACK] Seq=9 Ack=2059 Win=64935 Len=0"
"5476","577.050365","10.112.112.19","10.112.112.11","TCP","100","[TCP Spurious Retransmission] 57832  >  1883 [PSH, ACK] Seq=2013 Ack=9 Win=5736 Len=46"
"5477","577.050414","10.112.112.11","10.112.112.19","TCP","54","[TCP Dup ACK 5467#1] 1883  >  57832 [ACK] Seq=9 Ack=2059 Win=64935 Len=0"
"5478","577.060232","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"5479","577.104664","10.112.112.11","10.112.112.19","TCP","54","1883  >  57832 [ACK] Seq=9 Ack=2105 Win=64889 Len=0"
"5481","578.205711","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"5482","578.258013","10.112.112.11","10.112.112.19","TCP","54","1883  >  57832 [ACK] Seq=9 Ack=2151 Win=64843 Len=0"
"5487","580.584762","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"5488","580.630298","10.112.112.11","10.112.112.19","TCP","54","1883  >  57832 [ACK] Seq=9 Ack=2197 Win=64797 Len=0"
"5489","580.694277","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"5490","580.739782","10.112.112.11","10.112.112.19","TCP","54","1883  >  57832 [ACK] Seq=9 Ack=2243 Win=64751 Len=0"
"5505","585.058279","10.112.112.19","10.112.112.11","TCP","100","[TCP Spurious Retransmission] 57832  >  1883 [PSH, ACK] Seq=2197 Ack=9 Win=5736 Len=46"
"5506","585.058415","10.112.112.11","10.112.112.19","TCP","54","[TCP Dup ACK 5490#1] 1883  >  57832 [ACK] Seq=9 Ack=2243 Win=64751 Len=0"
"5508","585.097477","10.112.112.19","10.112.112.11","MQTT","286","Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Ping Request, Publish Message [iot/sensor], Publish Message [iot/sensor]"
"5509","585.098010","10.112.112.11","10.112.112.19","MQTT","56","Ping Response"
